participants,type,experience,value
1,metaphorical,stress,6
2,metaphorical,stress,3
3,metaphorical,stress,3
4,metaphorical,stress,4
5,metaphorical,stress,2
6,metaphorical,stress,5
7,metaphorical,stress,3
8,metaphorical,stress,3
9,metaphorical,stress,7
10,metaphorical,stress,3
11,metaphorical,stress,4
12,metaphorical,stress,3
13,metaphorical,stress,1
14,metaphorical,stress,4
15,metaphorical,stress,4
16,metaphorical,stress,2
17,metaphorical,stress,4
18,metaphorical,stress,3
19,metaphorical,stress,10
20,metaphorical,stress,4
21,simile,stress,1
22,simile,stress,3
23,simile,stress,1
24,simile,stress,2
25,simile,stress,7
26,simile,stress,6
27,simile,stress,3
28,simile,stress,2
29,simile,stress,6
30,simile,stress,3
31,simile,stress,6
32,simile,stress,6
33,simile,stress,2
34,simile,stress,1
35,simile,stress,5
1,metaphorical,timeIntuition,4
2,metaphorical,timeIntuition,4
3,metaphorical,timeIntuition,4
4,metaphorical,timeIntuition,4
5,metaphorical,timeIntuition,2
6,metaphorical,timeIntuition,2
7,metaphorical,timeIntuition,3
8,metaphorical,timeIntuition,3
9,metaphorical,timeIntuition,4
10,metaphorical,timeIntuition,4
11,metaphorical,timeIntuition,3
12,metaphorical,timeIntuition,4
13,metaphorical,timeIntuition,5
14,metaphorical,timeIntuition,4
15,metaphorical,timeIntuition,2
16,metaphorical,timeIntuition,4
17,metaphorical,timeIntuition,4
18,metaphorical,timeIntuition,5
19,metaphorical,timeIntuition,3
20,metaphorical,timeIntuition,4
21,simile,timeIntuition,4
22,simile,timeIntuition,5
23,simile,timeIntuition,4
24,simile,timeIntuition,2
25,simile,timeIntuition,4
26,simile,timeIntuition,4
27,simile,timeIntuition,3
28,simile,timeIntuition,2
29,simile,timeIntuition,4
30,simile,timeIntuition,4
31,simile,timeIntuition,2
32,simile,timeIntuition,3
33,simile,timeIntuition,2
34,simile,timeIntuition,3
35,simile,timeIntuition,3
1,metaphorical,appInfluence,4
2,metaphorical,appInfluence,4
3,metaphorical,appInfluence,3
4,metaphorical,appInfluence,2
5,metaphorical,appInfluence,2
6,metaphorical,appInfluence,4
7,metaphorical,appInfluence,4
8,metaphorical,appInfluence,3
9,metaphorical,appInfluence,4
10,metaphorical,appInfluence,4
11,metaphorical,appInfluence,3
12,metaphorical,appInfluence,3
13,metaphorical,appInfluence,5
14,metaphorical,appInfluence,4
15,metaphorical,appInfluence,4
16,metaphorical,appInfluence,3
17,metaphorical,appInfluence,4
18,metaphorical,appInfluence,5
19,metaphorical,appInfluence,2
20,metaphorical,appInfluence,4
21,simile,appInfluence,2
22,simile,appInfluence,4
23,simile,appInfluence,2
24,simile,appInfluence,1
25,simile,appInfluence,1
26,simile,appInfluence,1
27,simile,appInfluence,3
28,simile,appInfluence,3
29,simile,appInfluence,4
30,simile,appInfluence,4
31,simile,appInfluence,2
32,simile,appInfluence,3
33,simile,appInfluence,2
34,simile,appInfluence,3
35,simile,appInfluence,3
